sku,name,category,subcategory,has_image,description_length,issues
30-110-81,"C-Section Sets",Uncategorized,General,no,34,"no-image; short-desc; uncategorized"
30-105-01,"CAESAREAN SECTION BASIC SET",Uncategorized,General,no,27,"no-image; short-desc; uncategorized"
15-184-00,"Rhoton-Type Needle Straight",Uncategorized,General,no,44,"no-image; short-desc; uncategorized"
27-106-11,"Obwegeser Nasal Ramus Forked Ret",Uncategorized,General,no,41,"no-image; short-desc; uncategorized"
25-254-50,"Dunn Dautrey Posterior Ret",Uncategorized,General,no,48,"no-image; short-desc; uncategorized"
25-122-10,"Molt Mouth Gag",Uncategorized,General,no,33,"no-image; short-desc; uncategorized"
24-411-01,"Nasel speula Adult with lock",Uncategorized,General,no,42,"no-image; short-desc; uncategorized"
24-383-04,"ST",Uncategorized,General,no,40,"no-image; short-desc; uncategorized"
23-296-90,"Socket",Uncategorized,General,no,28,"no-image; short-desc; uncategorized"
23-270-90,"Weights (Pair)",Uncategorized,General,no,31,"no-image; short-desc; uncategorized"
20-198-40,"Breisky Vaginal Speculm",Uncategorized,General,no,43,"no-image; short-desc; uncategorized"
19-204-00,"Knutson-Koch Urethrography Instrument",Uncategorized,General,no,49,"no-image; short-desc; uncategorized"
20-196-20,"Breisky Vaginal Speculm",Uncategorized,General,no,43,"no-image; short-desc; uncategorized"
07-183-18,"Jobson-Horne Applicator",Uncategorized,General,no,30,"no-image; short-desc; uncategorized"
12-216-26,"Wolff Plaster Breaker",Uncategorized,General,no,30,"no-image; short-desc; uncategorized"
02-290-15,"Favaloro",Uncategorized,General,no,36,"no-image; short-desc; uncategorized"
02-168-14,"Reynolds",Uncategorized,General,no,46,"no-image; short-desc; uncategorized"
20-230-98,"20-230-98",Uncategorized,General,no,45,"no-image; short-desc; uncategorized"
24-154-18,"24-154-18",Uncategorized,General,no,32,"no-image; short-desc; uncategorized"
28-306-08,"28-306-08",Uncategorized,General,no,45,"no-image; short-desc; uncategorized"
28-306-09,"28-306-09",Uncategorized,General,no,45,"no-image; short-desc; uncategorized"
21-212-03,"Ovum Forceps",Uncategorized,,no,22,"no-image; short-desc; uncategorized"
25-254-60,"Dunn Dautrey Anterior Ret. 6.5x60mm 14.5cm",Uncategorized,,no,47,"no-image; short-desc; uncategorized"
22-144-03,"Bowman Lacrimal Probe / 1",Uncategorized,,no,40,"no-image; short-desc; uncategorized"
22-144-04,"Bowman Lacrimal Probe / 2",Uncategorized,,no,40,"no-image; short-desc; uncategorized"
22-144-05,"Bowman Lacrimal Probe / 3",Uncategorized,,no,40,"no-image; short-desc; uncategorized"
12-102-18,"12-102-18",Uncategorized,General,no,32,"no-image; short-desc; uncategorized"
12-102-20,"12-102-20",Uncategorized,General,no,30,"no-image; short-desc; uncategorized"
13-260-08,"13-260-08",Uncategorized,General,no,22,"no-image; short-desc; uncategorized"
13-888-08,"13-888-08",Uncategorized,General,no,40,"no-image; short-desc; uncategorized"
13-951-17,"13-951-17",Uncategorized,General,no,44,"no-image; short-desc; uncategorized"
13-951-20,"13-951-20",Uncategorized,General,no,44,"no-image; short-desc; uncategorized"
13-951-22,"13-951-22",Uncategorized,General,no,44,"no-image; short-desc; uncategorized"
14-286-18,"14-286-18",Uncategorized,General,no,49,"no-image; short-desc; uncategorized"
14-504-10,"14-504-10",Uncategorized,General,no,41,"no-image; short-desc; uncategorized"
14-504-15,"14-504-15",Uncategorized,General,no,41,"no-image; short-desc; uncategorized"
14-504-20,"14-504-20",Uncategorized,General,no,41,"no-image; short-desc; uncategorized"
14-504-25,"14-504-25",Uncategorized,General,no,41,"no-image; short-desc; uncategorized"
14-504-30,"14-504-30",Uncategorized,General,no,41,"no-image; short-desc; uncategorized"
14-504-35,"14-504-35",Uncategorized,General,no,41,"no-image; short-desc; uncategorized"
14-504-40,"14-504-40",Uncategorized,General,no,41,"no-image; short-desc; uncategorized"
14-504-45,"14-504-45",Uncategorized,General,no,41,"no-image; short-desc; uncategorized"
14-504-50,"14-504-50",Uncategorized,General,no,41,"no-image; short-desc; uncategorized"
14-504-70,"14-504-70",Uncategorized,General,no,41,"no-image; short-desc; uncategorized"
14-504-90,"14-504-90",Uncategorized,General,no,41,"no-image; short-desc; uncategorized"
