id,sku,name,current_category,current_subcategory,suggested_category,suggested_subcategory
9408d348-f532-4db0-9922-7ffb53dd16aa,13-195-01,"Wire Cutting Plier",Uncategorized,General,,
e7600679-6509-4f31-a4ba-43dac111920d,30-114-15,"MC Sets Reusable Instruments",Uncategorized,General,,
48801cf0-75cd-4aae-b034-c38b07515d71,30-112-55,"Hysterectomy Set",Uncategorized,General,,
39a92c40-ddac-47b2-b535-81da34a819e6,30-110-81,"C-Section Sets",Uncategorized,General,,
4357115b-3dea-46f0-adf2-439631c70c5b,30-105-01,"CAESAREAN SECTION BASIC SET",Uncategorized,General,,
548a3836-0042-4d62-8ab4-8ce0074ad104,30-102-01,"TRACHEOSTOMY KIT",Uncategorized,General,,
799bef00-f7c5-48e0-aa15-4cc5387fa737,30-104-02,"BASIC ENT KIT",Uncategorized,General,,
1a810d5d-8ecf-430c-a08b-31114d40ec50,29-120-19,"Dissecting Kit &#8211; Set of 19 Pcs (Packed in Pouch)",Uncategorized,General,,
355318e1-d7be-435d-8b68-64d71055fa33,29-130-35,"Dissecting Kit &#8211; Set of 35 Pcs (Packed in Pouch)",Uncategorized,General,,
f6beb1fe-90b9-4738-889c-b325a70e4d4f,29-136-42,"Dissecting Kit &#8211; Set of 42 Pcs (Packed in Pouch)",Uncategorized,General,,
0db34068-85ec-4886-8ba0-303db93c3233,29-106-09,"Dissecting Kit &#8211; Set of 9 Pcs (Packed in Pouch)",Uncategorized,General,,
8c3c51dd-dcb2-4433-a409-4d852ca785c4,29-126-20,"Dissecting Kit &#8211; Set of 20 Pcs (Packed in Pouch)",Uncategorized,General,,
cfbeb886-b3d1-4b6e-bf09-381f3715de58,13-986-04-c,"Depth Gauge",Uncategorized,General,,
5a6a2f55-6c9d-417c-8fc9-c73e75b370ba,29-110-13,"Dissecting Kit &#8211; Set of 13 Pcs (Packed in Pouch)",Uncategorized,General,,
bf7f023c-489f-4f86-b8c0-42238b93a80b,28-418-45,"Bedpan",Uncategorized,General,,
70192f2f-9320-4d4f-89fb-b2dd5690b293,23-496-15,"Zaufal Foreign Body Lever",Uncategorized,General,,
3ae23fff-3b8e-458c-b8fa-460bb16c1d7f,29-100-09,"Dissecting Kit &#8211; Set of 9 Pcs (Packed in Pouch)",Uncategorized,General,,
55644bae-b6b8-4dab-9b45-ffb0005859a4,28-414-45,"Bedpan",Uncategorized,General,,
f4aa0579-6e07-4947-9de1-eadf149f097e,28-188-00,"Cotton Dispensers Stainless Steel",Uncategorized,General,,
767d7890-6782-4ac2-aed3-8da5b19e9891,28-148-30,"Lester Pumice Cup",Uncategorized,General,,
2faaa0cd-ffb2-460a-9097-6359f9808d79,28-106-40,"Stainless Steel rack for 15 instruments",Uncategorized,General,,
73dba75f-d45c-45e2-b90b-a1fcfd8f0645,27-262-26,"Tessier Caliper",Uncategorized,General,,
0f1521e8-598f-4e9c-a584-47def5fe22bb,27-278-01,"Marchac Frontal template",Uncategorized,General,,
a9e9ad8a-9148-45b1-877d-4156f17e73b3,15-207-09,"Handle with Chuck",Uncategorized,General,,
0d81c3fe-e5ed-48c5-adc0-218f8004ff4e,28-404-72,"Bedpan",Uncategorized,General,,
aa9a6bcf-6e78-4ae5-afdd-9c50b7f44470,28-382-01,"Petri Dish",Uncategorized,General,,
9996ec92-bb51-42d6-a568-62d101132f40,28-364-10,"Needle Case",Uncategorized,General,,
80f673d1-ce86-4cfc-a91a-37986ab5c1cc,27-222-16,"Tessier Trocar",Uncategorized,General,,
815d834f-7944-4ed0-b2b5-e3c598cc7e20,28-330-01,"Measuring Jug",Uncategorized,General,,
6c8667c6-ea31-46ab-bff6-820450d102ce,28-190-00,"Cotton Dispensers Stainless Steel",Uncategorized,General,,
c0b84b94-1bba-406f-952e-e437bbad66f5,28-200-13,"Spare wicks Round  (pack of 5)",Uncategorized,General,,
93fadf99-2177-40ea-932f-4d78cbb6ee73,27-280-80,"Marchac Caliper",Uncategorized,General,,
2526391f-3394-4a92-8f08-79087b0f5eb8,28-372-00,"Needle Case Compelete",Uncategorized,General,,
bf62eb63-c669-4506-b6af-f9cbb3dd1990,15-184-00,"Rhoton-Type Needle Straight",Uncategorized,General,,
093c3a08-1af9-4a61-8571-9920dacff7b6,15-208-08,"Handle with Chuck",Uncategorized,General,,
2137f574-f8ed-4a5c-90b2-8058836dc724,28-120-16,"Bur Holding Tweezer",Uncategorized,General,,
937a476a-a65a-4a71-8ebc-11a17691fecc,03-244-00,"Politzer Ear Specula Set of 4 (Fig",Uncategorized,General,,
d085600b-3242-4c91-9980-ad4f74dba3d1,28-378-10,"Funnel",Uncategorized,General,,
44310058-e7b0-460b-8a80-33bab711ec37,28-240-01,"Medicine Cup",Uncategorized,General,,
2d20160e-213a-4f16-8219-9e4bba92de1b,27-302-17,"Marchac Bone expander",Uncategorized,General,,
c8b68ba7-aaa7-428d-a9fb-e4fa7d4735d9,28-198-13,"Spare wicks Flat  (pack of 5)",Uncategorized,General,,
71303aa1-81aa-418f-940a-0ebc97b48cc7,28-360-17,"Needle Case",Uncategorized,General,,
5342d89d-2bb7-483b-8226-27149076587c,27-218-21,"Tessier Awl",Uncategorized,General,,
eb3c7900-a49e-449d-aaf6-9023e40047af,28-368-50,"Needle Cases Plain",Uncategorized,General,,
67ff68f4-6c95-4efa-a7aa-8a25af6f0d79,28-196-12,"Spirit Lamp 120 cc",Uncategorized,General,,
9de62e39-da8c-4527-b39b-ac01ab7769c3,28-236-01,"Wash Basin",Uncategorized,General,,
0e01d19d-1c23-4a82-a2d8-b3c6033eff7b,28-362-17,"Needle Case Sauerbruch",Uncategorized,General,,
8c664f4b-d874-4049-a792-470a18096163,15-183-00,"Rhoton-Type Needle Straight",Uncategorized,General,,
023796e2-e5c4-4a42-addd-103c6cccc4f1,20-230-16,"20-230-16",Uncategorized,General,,
1e0db2d8-62f1-4ac9-8a8d-2a080b07bdad,28-242-60,"Medicine Cup (Graduated)",Uncategorized,General,,
6858e420-fcb1-41b0-83ba-9441d997dfa9,28-192-12,"Spirit Lamp 120 cc",Uncategorized,General,,
8b978b96-4924-4f78-9dd8-09341fd556b8,15-123-21,"Love",Uncategorized,General,,
47a88fdc-dddd-48bc-8dbe-9b8c2f067bc2,28-336-01,"Measuring Jug",Uncategorized,General,,
05c8d7bb-4adb-4aaf-80ee-04a907d5022c,27-220-16,"Tessier Awl",Uncategorized,General,,
9a186a27-56b1-4b4e-b3c1-bbda596b2473,28-194-12,"Spirit Lamp 120 cc",Uncategorized,General,,
652c3937-bbad-461b-a16f-88a1fcd7cf1a,28-146-00,"Endometer Laser etched",Uncategorized,General,,
a92727f1-a816-4116-aab2-0b11fa095a49,28-118-00,"Mesh Burs Holder",Uncategorized,General,,
7280c7a7-23d5-4588-8d0f-cee2b086597e,27-154-23,"Obwegesser Maxillary Mobilizer",Uncategorized,General,,
4ceefcb5-458f-4ebb-8464-71c985f92b59,27-158-17,"Obwegesser Maxillary Awl",Uncategorized,General,,
088d0786-7d1d-489d-9e1c-8012fbc27cfc,27-156-15,"Obwegesser Maxillary Awl",Uncategorized,General,,
7ffebd76-3af1-461c-85c4-57b9c785fa65,28-300-01,"Electric Sterilizer",Uncategorized,General,,
cf3c58ab-3adf-40c9-a1c4-b54c285ff4c1,26-206-00,"Seiffert Exchangeable Tip",Uncategorized,General,,
3e63c636-6525-48ad-b3ca-cd2751f35d23,26-230-01,"Lange Exchangeable Tip",Uncategorized,General,,
03b55214-d621-4266-a5f5-9be079d9725f,26-120-18,"Cleft Palate Instrument",Uncategorized,General,,
a30709d7-79a0-4360-bb19-794bb6ef05f1,25-426-14,"Terry Ramus Pusher",Uncategorized,General,,
2062a16a-7a0c-481c-ba75-3878e9859b10,17-128-09,"Schamberg Comedone Extractor",Uncategorized,General,,
f00c2292-77fc-473d-818d-eaf1c37619fc,17-102-13,"Vidal Lupus scraper",Uncategorized,General,,
bdac6003-1501-46d1-ba02-dbc88b33030b,26-194-00,"Huber Universal handle",Uncategorized,General,,
b90ed09a-9f04-4373-848f-5f72f835a76a,26-252-01,"Cordes Exchangeable Tip",Uncategorized,General,,
0c5bce67-13b5-49d8-8a55-000855e055a4,26-240-00,"Krause Exchangeable Tip",Uncategorized,General,,
8cd1fa3d-5e17-4f74-a31a-396c334322c5,26-122-18,"Cleft Palate Instrument",Uncategorized,General,,
c7916191-00bc-49b8-8341-f5740d500e1b,17-130-16,"Katsch Comedone Extractor",Uncategorized,General,,
faad4bc6-03d5-4948-80e0-1b9abd30e398,26-260-00,"Rosenberg Exchangeable Tip",Uncategorized,General,,
8101a2e5-1f1a-4d17-8cbd-aa5d94139a84,26-108-18,"Salyer cleft palate instrument",Uncategorized,General,,
a544aaa0-962f-41a1-b49f-a0f7910e1d85,17-124-11,"Saalfeld Comedone Extractor",Uncategorized,General,,
22816b41-8087-4b7f-bcfc-56768cb45b3a,26-256-00,"Cordes Exchangeable Tip",Uncategorized,General,,
4fe2ffd9-216d-42c3-98f6-541555c73fe0,27-106-11,"Obwegeser Nasal Ramus Forked Ret",Uncategorized,General,,
6c8bae0c-86a3-41ff-a562-fe36a88f487e,26-210-00,"Seiffert Exchangeable Tip",Uncategorized,General,,
69cd4a5c-1bf0-437d-a7df-fae145ff55b1,26-248-00,"Schumacher Exchangeable Tip",Uncategorized,General,,
d9b4bd91-e58a-41eb-bf4b-4b7cde4bd069,26-216-00,"Scheinmann Exchangeable Tip",Uncategorized,General,,
82d23ca8-1e9e-4acc-857f-644f9257250c,26-160-17,"Luniatschek Gauze Packer",Uncategorized,General,,
c6728ff9-1ff2-4a90-a026-b61846cc7f6f,17-132-11,"Unna-Vidal Comedone Extractor",Uncategorized,General,,
0c44d4f5-fed2-4d4f-88ab-9b43bfa8be57,17-120-14,"Unna Comedone Extractor",Uncategorized,General,,
9c1e26c4-7f1d-4299-b4d1-493e06440ce4,26-220-00,"Scheinmann Exchangeable Tip",Uncategorized,General,,
bb336ddf-969d-4d45-9f82-cb3a55ec9e45,26-236-01,"Krause Exchangeable Tip",Uncategorized,General,,
02a6865e-faee-432f-99d7-e9e486c8be4b,26-162-17,"Luniatschek Gauze Packer",Uncategorized,General,,
a4a6e9e9-7a51-496c-a8ae-78d49423639e,25-430-17,"Terry Wire Introducer",Uncategorized,General,,
f870a6ef-136f-4ae1-a3eb-88437414ed26,26-196-22,"Brunings Interchangeable tube",Uncategorized,General,,
4e403908-7fe6-4374-b121-80c780fc0405,26-244-01,"Cordes Exchangeable Tip",Uncategorized,General,,
c1ff1ab2-f5bc-42a1-9c66-04b4bb006d9b,25-444-17,"Turvey Palatal Expander",Uncategorized,General,,
669340ea-fe87-455e-8693-99b8cf34436a,25-418-23,"Smith Ramus separator",Uncategorized,General,,
64b4dae2-504b-4399-890c-c7c6b8e6822f,25-460-18,"Steinhauser Reposition Instrument",Uncategorized,General,,
b16cd524-add7-427b-90ec-40b12b7f3b4d,25-434-14,"Terry occlusal wegde small",Uncategorized,General,,
084b6fb5-d845-4dbf-ba67-215aa3ad04e9,24-408-01,"Mod",Uncategorized,General,,
65c94550-405a-4457-9b07-bb0c71338626,26-198-18,"Brunings Laryngeal tube",Uncategorized,General,,
a4a36603-8771-4c28-9eaf-56e869eca0ea,17-122-14,"Unna Comedone Extractor",Uncategorized,General,,
3cd77490-ae95-4973-9191-b9cbd6a1e001,17-126-14,"Saalfeld Comedone Extractor",Uncategorized,General,,
5d8d5de6-6457-4d29-9440-415edc6e817a,15-106-33,"De Martel Wire Saw Guide",Uncategorized,General,,
11eea608-4e0c-4975-9928-ba26a939c665,15-125-11,"Love",Uncategorized,General,,
8166b786-30d0-4db2-b9b9-b0273c4f1faf,15-107-07,"Drill Point",Uncategorized,General,,
ac0763ad-9df4-40c9-8723-73c7cf8865fa,14-524-00,"Guide (only)",Uncategorized,General,,
3b9096c2-1038-4441-b728-67e4900fb0f2,25-312-20,"Eckelt Plate-pulling instrument",Uncategorized,General,,
bf505c26-4b6b-4ef4-9e99-730aad1ab569,15-124-17,"Love",Uncategorized,General,,
624f8e0d-b2ce-470d-9da7-c4bbc04c3b98,15-110-00,"Crutchfield Skull Traction Tong",Uncategorized,General,,
0c7cfb3f-abe8-4cfc-9b6f-7fb935bcb7e3,15-100-30,"Wire Saw",Uncategorized,General,,
c0deb957-5c04-4069-8c73-5ea5b9846dae,14-510-18,"Intima Spatul",Uncategorized,General,,
efc81b45-372b-403c-805a-e15d3d961aea,15-103-01,"Gigli Wire saw handle",Uncategorized,General,,
698980e6-009f-4a87-964b-9acf835dfed4,16-118-26,"Cleaning Brush for trachdeal tubes",Uncategorized,General,,
cdc023fa-2cdf-4bde-815f-476831b9e789,15-607-35,"Blunt Blades",Uncategorized,General,,
f23d2fbc-edc3-4e35-8d7d-d73319797f29,15-656-00,"Screw Driver",Uncategorized,General,,
a8a5b594-624e-43e6-8ff9-56393fc7f132,03-246-10,"Boucheron Ear Specula Set of 3 (Fig",Uncategorized,General,,
aa099bed-9e9b-47b5-b2ae-bb5a30f5a0df,15-624-45,"Blunt Blades",Uncategorized,General,,
b84c12f6-bd65-4e6b-b6b3-ac1cb5146701,15-602-40,"Medial Toothed Blades",Uncategorized,General,,
07fd2a17-0301-4b8a-a85b-9c58096f28c4,15-650-00,"Drill guide",Uncategorized,General,,
92fb6c0d-4d67-4797-b222-cfe7eda089df,15-622-40,"Medial Toothed Blades",Uncategorized,General,,
900d3e10-1b00-483a-97d9-f41515852390,15-605-35,"Medial Toothed Blades",Uncategorized,General,,
7d661621-d3ac-4dad-81a7-668b093ee0a5,20-230-17,"20-230-17",Uncategorized,General,,
d6d57e94-a8de-4871-833a-83ac8eb5c53b,20-230-18,"20-230-18",Uncategorized,General,,
561e2d19-795a-415b-8fc5-0679245a3854,25-278-15,"Rowe Wire Pusher",Uncategorized,General,,
56233f47-1636-4e81-a4f3-4ae8a6a22369,25-210-25,"L&#038;M for vertical osteotomy",Uncategorized,General,,
6d933070-e2a9-4e15-95ce-88b9632608d6,25-212-28,"L&#038;M for vertical osteotomy",Uncategorized,General,,
7d6f6f7e-080c-47e7-9f5f-b711e5deed3f,25-254-50,"Dunn Dautrey Posterior Ret",Uncategorized,General,,
0af1f09c-f0fc-4c9e-b013-baf0d561515d,15-635-30,"McCulloch 6-teeth Wide Muscle Blades",Uncategorized,General,,
787dc877-59a4-4a80-b77a-90b8d24950b4,15-612-40,"Small Lateral Serrated Blades PEEK",Uncategorized,General,,
80bc26c1-1e26-462d-b4aa-979fe13c09c3,15-627-45,"Blunt Blades",Uncategorized,General,,
d26e079c-d85d-4396-a8db-ff0cf5cf5207,20-230-19,"20-230-19",Uncategorized,General,,
5e7fcc69-180a-4829-8874-a248b09640f1,15-596-40,"Medial Toothed Blades",Uncategorized,General,,
deb40f1a-bf69-4b84-b944-0216d28b4c91,20-230-20,"20-230-20",Uncategorized,General,,
865137b5-0926-444a-82eb-11716266c43a,25-140-00,"Dingmann Mouth Gag",Uncategorized,General,,
aa1a88c4-7276-4e04-bdf5-247fcc0f109d,16-126-13,"Ueckermann-Denker Crycothyreotomy Trocar",Uncategorized,General,,
d1a640af-fd66-4e58-8680-de35447c2e9e,15-655-00,"Drill Guide",Uncategorized,General,,
8c840688-4254-4a2e-adaf-999046cf4ff1,15-621-21,"Quick Connect blade positioner Handle",Uncategorized,General,,
b0d917cb-a585-4d39-83e2-4ea9e96aa154,15-648-12,"Distraction Pin A/B",Uncategorized,General,,
e44c7cd1-426a-42e8-abd1-11d09586bb73,15-597-40,"Lateral Serrated Blades",Uncategorized,General,,
b6a19f26-9206-422f-8ec2-c227f3ce1c24,15-615-40,"Medial Toothed Blades PEEK",Uncategorized,General,,
6b8dfa1c-2d8a-4d3f-815d-6af17fe11ac7,15-562-14,"St",Uncategorized,General,,
ac6a5bd5-8ed8-4c62-982a-0bc4399da33b,15-649-00,"Twist Drill",Uncategorized,General,,
29ec3690-39af-4bc6-84f6-d720155e9811,15-604-30,"Blunt Blades",Uncategorized,General,,
a20afb97-3ca9-4055-b571-30010a27f12f,15-639-50,"McCulloch 2-teeth Cervical Blades",Uncategorized,General,,
4ff3c412-b615-43e2-856d-14713195a267,15-623-40,"Lateral Serrated Blades",Uncategorized,General,,
